name,min_salary,max_salary,currency,url,cite
Backend программист (Python),120000.0,,руб.,https://novosibirsk.hh.ru/vacancy/77147428?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Ведущий инженер по тестированию (python),,,,https://novosibirsk.hh.ru/vacancy/73199414?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Python Developer (проект ""Маркетинг "") Middle",,,,https://novosibirsk.hh.ru/vacancy/76968960?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Python Developer (проект ""Маркетинг БКП"") Middle",,,,https://novosibirsk.hh.ru/vacancy/76978400?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Python Developer (проект ""Маркетинг"") Senior",,,,https://novosibirsk.hh.ru/vacancy/76976985?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Junior Python Backend Developer,,60000.0,руб.,https://novosibirsk.hh.ru/vacancy/77236116?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,200000.0,250000.0,руб.,https://novosibirsk.hh.ru/vacancy/77091465?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,200000.0,250000.0,руб.,https://novosibirsk.hh.ru/vacancy/77091466?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Программист Python Junior,,,,https://novosibirsk.hh.ru/vacancy/77146976?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Python-разработчик (Django, DRF)",60000.0,220000.0,руб.,https://novosibirsk.hh.ru/vacancy/70705466?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Стажер-разработчик Python (компьютерное зрение), удалённо",15000.0,,руб.,https://novosibirsk.hh.ru/vacancy/77172833?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Программист Python,45000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76608111?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик,100000.0,200000.0,руб.,https://novosibirsk.hh.ru/vacancy/76786188?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик C# / Python,300000.0,500000.0,руб.,https://novosibirsk.hh.ru/vacancy/71147348?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Ведущий Python разработчик (удаленка),,8000.0,USD,https://novosibirsk.hh.ru/vacancy/76832091?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Backend Developer / WEB - разработчик,300000.0,450000.0,руб.,https://novosibirsk.hh.ru/vacancy/72216524?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,100000.0,,руб.,https://novosibirsk.hh.ru/vacancy/77234310?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer (Middle),300000.0,360000.0,руб.,https://novosibirsk.hh.ru/vacancy/67856203?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,30000.0,80000.0,руб.,https://novosibirsk.hh.ru/vacancy/47668037?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python программист (Django/Flask),,180000.0,руб.,https://novosibirsk.hh.ru/vacancy/77204132?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python Developer,5000.0,6000.0,USD,https://novosibirsk.hh.ru/vacancy/76650700?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76099463?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Backend-разработчик Python/Django,,,,https://novosibirsk.hh.ru/vacancy/75850366?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик (команда WorkSpace),,,,https://novosibirsk.hh.ru/vacancy/77091209?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Программист Python,,,,https://novosibirsk.hh.ru/vacancy/75704098?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Lead Python Developer,250000.0,350000.0,руб.,https://novosibirsk.hh.ru/vacancy/77190091?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик (проект Лаборатория измерительных систем),,,,https://novosibirsk.hh.ru/vacancy/77193986?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Программист Python,,240000.0,руб.,https://novosibirsk.hh.ru/vacancy/76785097?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python/Go developer,150000.0,,руб.,https://novosibirsk.hh.ru/vacancy/77230563?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик систем сбора,100000.0,150000.0,руб.,https://novosibirsk.hh.ru/vacancy/49299293?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик,,,,https://novosibirsk.hh.ru/vacancy/77030437?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик (удалённо),180000.0,250000.0,руб.,https://novosibirsk.hh.ru/vacancy/75955276?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python / Go Разработчик,,,,https://novosibirsk.hh.ru/vacancy/74089202?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,,,,https://novosibirsk.hh.ru/vacancy/76374632?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Middle Разработчик,60000.0,100000.0,руб.,https://novosibirsk.hh.ru/vacancy/75926512?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Backend-разработчик Python,150000.0,250000.0,руб.,https://novosibirsk.hh.ru/vacancy/75865798?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик в команду Market Intelligence,,,,https://novosibirsk.hh.ru/vacancy/77076479?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик,,,,https://novosibirsk.hh.ru/vacancy/76810824?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Engineer,3000.0,6500.0,USD,https://novosibirsk.hh.ru/vacancy/76983666?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
