names,prices,urls
Смартфон realme 9 Pro 5G 6/128GB Midnight Black (RMX3472),16999.0,https://www.mvideo.ru/products/smartfon-realme-9-pro-5g-6-128gb-midnight-black-rmx3472-30066554
Смартфон HUAWEI nova 10 SE 8/128Gb Starry Black,21999.0,https://www.mvideo.ru/products/smartfon-huawei-nova-10-se-8-128gb-starry-black-30065456
Смартфон Apple iPhone 14 Pro Max 256GB Deep Purple,124999.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-max-256gb-deep-purple-30064946
Смартфон vivo V25e 8/128Gb Diamond Black,19999.0,https://www.mvideo.ru/products/smartfon-vivo-v25e-8-128gb-diamond-black-30065329
Смартфон Samsung Galaxy S23 Ultra 256GB Phantom Black (SM-S918/DS),99999.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s23-ultra-256gb-phantom-black-sm-s918-ds-30067223
Смартфон Samsung Galaxy S23 256GB Phantom Black (SM-S911/DS),79999.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s23-256gb-phantom-black-sm-s911-ds-30067205
Смартфон vivo V25e 8/128Gb Sunrise Gold,19999.0,https://www.mvideo.ru/products/smartfon-vivo-v25e-8-128gb-sunrise-gold-30065350
Смартфон Xiaomi Redmi 9A 32GB Granite Gray,5499.0,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9a-32gb-granite-gray-30051224
Смартфон POCO C40 3/32GB Power Black,5999.0,https://www.mvideo.ru/products/smartfon-poco-c40-3-32gb-power-black-30063629
Смартфон Apple iPhone 14 Pro Max 256GB Gold,132999.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-max-256gb-gold-30064944
Смартфон Apple iPhone 14 Pro 256GB Space Black,122999.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-256gb-space-black-30064913
Смартфон HUAWEI nova Y90 (CTR-LX1) Black,14299.0,https://www.mvideo.ru/products/smartfon-huawei-nova-y90-ctr-lx1-black-30064407
Смартфон Xiaomi Redmi 9C NFC 3GB/64GB Green,6999.0,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9c-nfc-3gb-64gb-green-30063443
